Time,FC,PAS,PAM,PAD
-1,64,141,116,92
0,70.4,155.1,127.6,92
150,71.5194,153.683,126.77,92
300,71.8367,155.922,127.623,92
450,69.2999,155.945,128.892,92.9967
600,70.5027,156.147,127.239,90.6758
750,70.8307,158.168,125.64,92.5586
900,68.9382,121.854,102.534,73.6523
1050,62.9376,156.334,103.402,92.3888
1200,61.3918,155.706,128.046,92.135
1350,63.7528,152.659,126.939,91.7921
1500,58.8082,103.981,88.5298,66.7188
1650,54.9387,110.482,62.2506,62.7528
1800,59.3635,111.212,84.0056,65.1181
1950,59.323,105.036,81.3957,65.8953
2100,57.6781,106.114,82.0753,66.1777
2250,50.4915,72.8324,59.2861,46.3779
2400,52.471,76.3307,60.0378,44.7494
2550,50.9114,78.2042,62.4596,42.6927
2700,52.4556,80.3821,69.0479,42.6223
2850,51.9673,77.4493,69.3409,44.1317
3000,51.9028,82.2429,68.7703,44.8378
3150,54.4994,75.3456,68.5561,41.3308
3300,57.7961,73.9526,69.9588,42.8191
3450,59.2611,78.51,66.6036,43.1966
3600,75.3231,98.0696,74.3081,44.0423
3750,74.4169,96.4125,74.1292,44.8655
3900,81.9261,102.823,76.72,44.8877
4050,79.266,99.8605,78.1938,43.8085
4200,81.7074,104.552,82.817,44.6809
4350,82.392,104.429,80.5265,45.1343
4500,80.6792,105.633,82.4153,44.1979
4650,76.3008,97.2897,79.4729,41.7405
4800,78.4899,100.61,80.0421,39.0823
4950,80.1467,96.2013,77.7943,41.1826
5100,79.1441,100.092,82.87,41.152
5250,79.6233,104.593,80.613,43.6384
5400,78.9974,108.642,79.3534,42.1664
5550,82.4997,104.231,78.0026,39.3831
5700,79.0072,106.135,81.1311,43.6634
5850,77.5313,101.337,79.2448,40.0609
6000,80.3921,106.139,78.1386,40.5423
6150,79.8363,103.748,79.5614,38.3771
6300,78.134,107.929,79.245,42.0969
6450,79.9111,110.392,77.5901,39.354
6600,81.362,109.531,81.129,40.7706
6750,80.4915,108.867,79.4823,43.7624
6900,86.3724,106.837,80.5895,42.4633
7050,86.834,110.861,79.2898,40.7271
7200,90.1144,108.41,80.816,38.549
7350,87.7953,107.301,81.3692,39.2134
7500,90.0653,111.136,80.3174,39.9088
7650,89.7684,110.375,80.4683,41.7288
7800,91.064,109.362,80.8361,40.594
7950,90.344,109.468,81.6933,41.11
8100,87.8462,105.06,82.8526,41.9906
8250,75.5194,91.7453,67.8987,41.0363
8400,72.6751,91.2846,68.9268,40.0152
8550,72.0187,91.2252,70.179,39.8958
8700,66.5953,122.17,97.7484,67.9517
8850,67.074,125.808,98.4841,68.2908
9000,66.5341,123.982,98.4261,67.2254
9150,66.6653,123.463,98.8485,67.4111
9300,67.5213,123.748,97.6062,69.7157
9450,67.0153,120.953,95.9905,67.4632
9600,68.1174,121.096,96.1913,69.63
9750,69.2039,121.213,98.7164,70.1945
